obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""97.2541""","=""0.0019""","=""97.2537026950""","=""0.0000000005""","=""0.0004""","=""102823.5""","=""""","=""6.8185e-01""","=""9.6686e-03""","=""6.1912e-02""","=""-1.71361""",AAA,"=""0.0000000000""","=""102823.8485825""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""""","=""""","=""102.572144677""","=""0.000000007""","=""""","=""97492.355566""","=""""","=""5.937e-06""","=""2.809e-07""","=""3.612e+00""","=""-6.250""",AAA,"=""0.0000000000""","=""97492.355566""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""5/2""",2,6,E2,"=""T7651""","=""""",
"=""""","=""""","=""102.572182693""","=""0.000000021""","=""""","=""97492.319433""","=""""","=""5.938e-06""","=""1.873e-07""","=""2.408e+00""","=""-6.426""",AAA,"=""0.0000000000""","=""97492.319433""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,E2,"=""T7651""","=""""",
"=""""","=""""","=""102.572285517""","=""0.000000007""","=""""","=""97492.221701""","=""""","=""1.109e-14""","=""1.749e-16""","=""8.871e-11""","=""-15.456""",AAA,"=""0.0000000000""","=""97492.221701""","=""1s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,M1,"=""T7651""","=""""",
"=""102.5728""","=""0.0003""","=""102.572182505""","=""0.000000007""","=""0.0006""","=""97491.7""","=""""","=""1.6725e+00""","=""5.2761e-02""","=""3.5632e-01""","=""-0.97666""",AAA,"=""0.0000000000""","=""97492.319611""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3545""",
"=""102.5728""","=""0.0003""","=""102.57220""","=""0.00003""","=""0.0006""","=""97491.7""","=""250000""","=""5.5751e-01""","=""7.9142e-02""","=""5.3450e-01""","=""-0.80056""",AAA,"=""0.0000000000""","=""97492.304""","=""1s""","=""2S""","=""1/2""","=""3""","=""""","=""""",2,18,,"=""T8637""","=""L3545""",
"=""102.5728""","=""0.0003""","=""102.572296565""","=""0.000000007""","=""0.0005""","=""97491.7""","=""""","=""1.6725e+00""","=""2.6380e-02""","=""1.7816e-01""","=""-1.27769""",AAA,"=""0.0000000000""","=""97492.211200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3545""",
"=""121.56699""","=""0.00020""","=""121.5668237310""","=""0.0000000006""","=""0.00017""","=""82259.17""","=""""","=""6.2647e+00""","=""2.7760e-01""","=""2.2220e+00""","=""-0.25555""",AAA,"=""0.0000000000""","=""82259.2850014""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L12020""",
"=""121.56699""","=""0.00020""","=""121.5673644608""","=""0.0000000004""","=""-0.00037""","=""82259.17""","=""""","=""6.2648e+00""","=""1.3880e-01""","=""1.1110e+00""","=""-0.55657""",AAA,"=""0.0000000000""","=""82258.9191133""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L12020""",
"=""121.56701""","=""0.00021""","=""121.56701""","=""0.00015""","="" 0.00000""","=""82259.16""","=""840000""","=""4.6986e+00""","=""4.1641e-01""","=""3.3331e+00""","=""-0.07945""",AAA,"=""0.0000000000""","=""82259.158""","=""1s""","=""2S""","=""1/2""","=""2""","=""""","=""""",2,8,,"=""T8637""","=""L12020""",
