,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
4579,Ar,2,996.5416,8.0,0.9030899869919435,None,False
4580,Ar,2,996.70431,89.0,1.9493900066449128,None,False
4581,Ar,2,997.2336,9.0,0.9542425094393249,None,False
4582,Ar,2,997.59428,11.0,1.0413926851582251,None,False
4583,Ar,2,997.78274,68.0,1.8325089127062364,None,False
4584,Ar,2,998.839,1.0,0.0,None,False
4585,Ar,2,998.902,1.0,0.0,None,False
4586,Ar,2,999.38629,145.0,2.161368002234975,None,False
4587,Ar,2,999.40122,15.0,1.1760912590556813,None,False
4588,Ar,2,1001.30962,16.0,1.2041199826559248,None,False
4589,Ar,2,1001.3401,7.0,0.8450980400142568,None,False
4590,Ar,2,1002.2285,117.0,2.0681858617461617,None,False
